singing,lyrics_onizleme,tur,tur_olasilik,duygu,duygu_olasilik,tema,eslesen_kelime,kelime_sayisi
Ahmet Kaya,Bir mavi otobüs gelirdi Seni alır giderdi O mavi otobüs var ya...,pop,1.0,genel,1.0,umut,2,85
Ahmet Kaya,"Uyusun ha iyi büyüsün, Camlar buğulanmasın Sen uyu uyusun, Bulutlar uyanmasın Işıklar...",pop,1.0,aşk,0.5215,aşk,2,45
Ahmet Kaya,Kavuşmak özgürlükse özgürdük ikimiz de Elleri çığlık çığlık yanyana iki dünya İkimiz...,pop,0.4481,öfke,0.426,isyan,20,132
Ahmet Kaya,Ada sahillerinde bekliyorum Her zaman yollarını gözlüyorum Seni senden güzelim istiyorum Beni...,pop,0.6251,nostalji,0.5602,nostalji,10,62
Ahmet Kaya,"Geçiyor önümden, sirenler içinde Ah eller üstünde, çiçekler içinde (x2) Dudağımda yarım...",halk,0.4574,hüzün,0.2376,gelenek,13,128
Ahmet Kaya,"Dalyan gibi bir çocuktu, Benim gözümde küçüktü Küstüde dağlara çıktı, İner mi...",arabesk,0.6939,hüzün,0.6939,karanlık,3,89
Ahmet Kaya,"Yüzünün yarısı göz kadife yansımalı, Bulutlu siyah ah bulutları eflatun O boy...",arabesk,0.4579,hüzün,0.497,acı,23,157
Ahmet Kaya,Neden hala gelmedi? Saati mi şaşırdı bu hıyar? Gerçi hiç saati olmadı...,pop,0.5051,hüzün,0.3393,yalnızlık,18,444
Ahmet Kaya,Alnının orta yerinde Bir azap dövmesi hayat Ve kader Acının Çilenin harmanıdır...,pop,0.3951,hüzün,0.216,isyan,25,176
Ahmet Kaya,"Her sürgünün gözlerine Bu sebepten ah geceye Kanatlanmış güvercine Kırılacağım, kırılacağım Yeter...",pop,0.5796,hüzün,0.5678,nostalji,7,56
Ahmet Kaya,"Alnını dağ ateşi ile ısıtan dostum, Yüzünü kan ile yıkayan dostum, Senin...",halk,0.3238,öfke,0.3467,doğa,6,47
Ahmet Kaya,Dağda keklik avlarım Tabancamı yağlarım Ben bir öksüz oğluyam Gençliğime yanarım Amanım...,arabesk,0.5378,hüzün,0.6432,acı,9,52
Ahmet Kaya,Yaşayanlar bir gün ölür Bir gün ölür elbette Ağaçlarla balıklarla Kuşlarla ben...,pop,1.0,nostalji,1.0,nostalji,4,38
Ahmet Kaya,"Paldır küldür yıkılır bulutlar Gökyüzünde anlaşılmaz bir heybet O eski, o eski...",pop,0.5769,huzur,0.2025,nostalji,14,137
Ahmet Kaya,Ağladım gözyaşlarım döndü denize Ben derdimi kimseye söyleyemedim Kurşunlara gelirken arka mahallede...,arabesk,0.5989,hüzün,0.6396,ayrılık,11,54
Ahmet Kaya,Arpa orağa geldi Zülüf tavafa geldi Kalkın selama durun O yar odama...,pop,0.6649,aşk,0.4639,aşk,9,41
Ahmet Kaya,Canım ey canım ey Canım eylen ey Evimi başıma yıkıp giden hey...,pop,0.6905,hüzün,0.4236,yalnızlık,10,56
Ahmet Kaya,"Maviye, Maviye çalar gözlerin, Yangın mavisine Rüzgârda âsi Körsem, Senden gayrısına yoksam,...",pop,0.4638,aşk,0.2838,aşk,15,82
Ahmet Kaya,"Saat 21'i vuranda Burada kan panalar çalardı Burada Burada hasret ve dert,...",pop,0.5266,hüzün,0.7633,ayrılık,8,69
Ahmet Kaya,Şimdi saat sensizliğin ertesi Yıldız doğmuş gökyüzü ay-aydın Avutulmuş çocuklar çoktan sustu...,pop,0.5983,hüzün,0.5137,ayrılık,11,170
Ahmet Kaya,"Şimdi saat sensizliği ertesi, Yıldız dolmuş, gökyüzü ay-aydın (x2) Avutulmuş çocuklar, çoktan...",pop,0.6782,hüzün,0.2476,ayrılık,8,267
Ahmet Kaya,"Dağlarda öfkeli başım, Serhatta hep akşam oluyor Nasipsiz kıştan mı ? Yağmurdan...",pop,0.4863,öfke,0.3529,isyan,6,65
Ahmet Kaya,"Ağlama bebek, ağlama sende, Umut sende yarın sende Yağmur gibi gözlerinden akan...",pop,0.6162,hüzün,0.5089,özlem,7,53
Ahmet Kaya,Bizim evin bacaları aman aman kader Yanmaz oldu sobaları aman aman kader...,arabesk,0.7385,çaresizlik,0.6427,kader,20,90
Ahmet Kaya,Geçiyor önümden Sirenler içinde Ak eller ustunde Çiçekler içinde Dudaginda yarım Birsevdanın...,halk,0.5,hüzün,0.2557,gelenek,8,93
Ahmet Kaya,Cevap veriyorum Eli böğründe analardan Mahpuslardan ve acılardan Çokça bahsediyorum Çünkü başını...,pop,0.4838,öfke,0.5162,müzik,4,90
Ahmet Kaya,"Bugün düsünemiyeceğin kadar başım belada, Köşe başları tutulmuş üstelik yağmur yağmada İler-tutar...",rock,1.0,öfke,1.0,acı,2,145
Ahmet Kaya,Kaç bin yıldır yağmur akar gözlerimden Yinede ıslanmadı bir tek gün bile...,arabesk,0.6693,hüzün,0.9291,acı,11,61
Ahmet Kaya,Seyyah oldum pazar pazar dolaştım Bir tüccara satamadım ben beni Koyun oldum...,arabesk,0.6787,hüzün,0.6787,acı,3,75
Ahmet Kaya,Yağmurdan çıkar gelirdim Başımı öne eğerdim İşsizdim biliyordun Çaresizdim biliyordun Yine de...,halk,0.5734,hüzün,0.8741,aşk,7,73
Ahmet Kaya,Dün gece gördüm düşümde Seni özledim anne Elin yine ellerimde Gözlerin ağlamaklı...,pop,0.8712,hüzün,0.4515,aşk,14,64
Ahmet Kaya,Titrek bir mum alevinin havaya bıraktığı bulanık bir is Ve göz gözü...,pop,0.6139,aşk,0.3936,aşk,35,365
Ahmet Kaya,"Bir ince pusudayım, Yolumun üstü engerek Bir garip akşamdayım, Sırtımı gözler tüfek...",halk,0.426,hüzün,0.574,yolculuk,12,156
Ahmet Kaya,Suphi Suphi bir acayip adam Suphi Suphi benim canım ciğerim Kimse bilmez...,pop,0.6054,nostalji,0.4854,nostalji,15,280
Ahmet Kaya,Yüzlerce soğuk namlu üzerime çevrildi Yüzlerce demir tetik aynı anda gerildi Anne...,pop,0.4154,hüzün,0.5707,acı,12,170
Ahmet Kaya,Akşamlar böyle biter Hep böyle dertli biter Evli evine gider Kuşlar yuvaya...,pop,0.5855,hüzün,0.9173,hüzün,8,59
Ahmet Kaya,Ona hergün ratlardım kuyruğun bir ucunda Bir minibüs parası sımsıkı avucunda Uykusuna...,pop,0.8517,aşk,0.2852,aşk,7,114
Ahmet Kaya,Vakit tamam seni terk ediyorum Bütün alışkanlıklardan öteye Yorumsuz bir hayatı seçiyorum...,pop,0.66,hüzün,0.6252,ayrılık,12,132
Ahmet Kaya,Akşamlar böyle biter Hep böyle dertli biter Evli evine gider Kuşlar yuvaya...,pop,0.6715,hüzün,1.0,ayrılık,3,51
Ahmet Kaya,Birazdan kudurur deniz Birazdan dalgaların sırtından Üst üste fışkıran rüzgarlar Bir intikam...,pop,0.7749,aşk,0.468,aşk,4,117
Ahmet Kaya,"Biz üç kişiydik; Bedirhan, Nazlıcan ve ben Üç ağız, üç yürek, üç...",pop,0.3607,hüzün,0.3892,aşk,30,280
Ahmet Kaya,Bize kalan insanlığa bırakmak İstediğimiz değildi Binlerce fidan ektik halkın çölüne Su...,pop,0.5112,hüzün,0.4916,aşk,3,91
Ahmet Kaya,Gece düştüm sokaklara Her yerde seni aradım Birden karşıma çıktın Seni gördüm...,pop,0.7312,hüzün,0.6628,ayrılık,14,70
Ahmet Kaya,Bir güneşti gördüğüm dağlar ardında Uzanıp gittiğim yollar ateşti sanki Tuttuğum ellerde...,pop,0.5517,genel,0.3547,özlem,5,63
Ahmet Kaya,Şimdi saat sensizin ertesi Yıldız dolmuş gökyüzü ayaydın Avutulmuş çocuklar çoktan sustu...,pop,0.5828,hüzün,0.3209,ayrılık,6,156
Ahmet Kaya,"Eğri büğrü bakar oldum Şaşkın oldum, sakar oldum İkide bir yüreğimi dağa...",arabesk,0.474,hüzün,0.5513,acı,23,130
Ahmet Kaya,Dağlara çem düşende Bülbüle gam düşende Ruhum bedenden oynar Yadıma sen düşende...,arabesk,0.4986,hüzün,0.6298,aşk,7,51
Ahmet Kaya,Bu gece beni düşün Gözlerin bulutlansın Sırtlan karanlık altında koyupta gittiğini Düşün...,pop,0.8897,hüzün,0.5888,yalnızlık,19,138
Ahmet Kaya,Sana birgün bu mektubum ulaşır Açarsın ha eline kan bulaşır Çürür bir...,halk,0.3782,mutluluk,0.3631,acı,8,97
Ahmet Kaya,Gayrı dur durak yok kardeşler Yanında sevgilinin aziz ölüsü Ötede bir köylü...,halk_rock,0.6667,nostalji,0.3333,doğa,3,50
Ahmet Kaya,Ne kadınlar sevdim zaten yoktular Yağmur giyerlerdi sonbaharla bir Azıcık okşasam sanki...,pop,0.5018,nostalji,0.2105,nostalji,10,106
Ahmet Kaya,Aklın Ermez Mapusluğa Bahçede Sarı Işığa On Üç Tane Yaş Döküldü Ranzadaki...,pop,0.7324,hüzün,0.5686,yalnızlık,11,50
Ahmet Kaya,Bırak beni gayrı uçam Uçamda yollara göçem Ben uçmasam bil ki içem...,pop,0.7532,hüzün,0.2785,ayrılık,4,44
Ahmet Kaya,Yağmur yağar sel olurum Toprak döner toz olurum hey Seni sevdim gam...,halk,0.4465,mutluluk,0.3554,doğa,10,64
Ahmet Kaya,Haliç te bir vapuru vurdular dört kişi Demirlemişti eli kolu bağlıydı ağlıyordu...,pop,0.7365,hüzün,0.5269,hüzün,3,120
Ahmet Kaya,Haliç'te bir vapuru vurdular dört kişi Demirlemişti eli kolu bağlıydı ağlıyordu Dört...,pop,0.6583,hırs,0.3417,güç,3,115
Ahmet Kaya,Dardayım yalanım yok Baskın yedim gün gece Örselendi aşklarım üstelik Bir uzak...,pop,0.6168,mutluluk,0.28,umut,14,103
Ahmet Kaya,Ömrümde nice sızı var Kışların önü yazı var Kalbim kuşatmalarda dar Dağlarda...,halk,0.5356,huzur,0.4991,doğa,24,94
Ahmet Kaya,Biz dağlarda keklik idik Şimdi bu çöplükte karga olduk Bizimde boyumuzu aştı...,halk,0.398,huzur,0.398,doğa,5,55
Ahmet Kaya,"Ne demeli şimdi Bir çiğdemin toprağı yırtışını seyredişim Göğe mi dokunmalı, ucuna...",pop,0.3822,aşk,0.1665,aşk,11,161
Ahmet Kaya,Derin bir ah çektin içim yandı Kıyamaz gözüm gözlerine Rüyalarımdan gelip geçersin...,arabesk,0.4809,hüzün,0.7015,aşk,16,132
Ahmet Kaya,Dersim dört dağ içinde Dersim dört dağ içinde Gülü bardağın içinde Dersimi...,pop,0.6781,hüzün,0.5774,özlem,10,97
Ahmet Kaya,Değirmen başında vurdular beni Kilimli çarşafa sardılar beni Vurma zalım vurma nar...,pop,1.0,aşk,1.0,aşk,1,34
Ahmet Kaya,"Sevince ölesiye sevilir, kalınırdı Gidince kırılmış bir dal gibi gidilirdi Sonra şehirler...",pop,0.5091,hüzün,0.6234,özlem,7,64
Ahmet Kaya,Diyarbakır etrafında tanklar var Kuşatmışlar dört bir yandan kenti ordular Kalkacak neredeyse...,pop,0.5873,çaresizlik,0.4127,kader,5,42
Ahmet Kaya,"Çocukluğum çıraklıkta geçti, kir pas içinde Gençliğim korsan yürüyüşlerde, mitinglerde Hapse erken...",pop,0.4833,hüzün,0.293,ayrılık,16,210
Ahmet Kaya,Filiz filiz harelendim dağlara uymak için Kan gölünde kurulandım hayatı duymak için...,pop,0.5057,huzur,0.3396,aşk,25,182
Ahmet Kaya,"Benim sevdalarım yeni filizlenir Doymasada toprak can, can içinde Şu kara günlerim...",halk,0.4383,huzur,0.3712,ruhanilik,23,75
Ahmet Kaya,Zindanlardan taşa taşa kar beni Mamak'lardan metris'lerden sor beni Diyarbekre kanla bastım...,arabesk,0.3073,hüzün,0.3726,acı,29,211
Ahmet Kaya,"Öyle bir yerdeyim ki, ne karanfil ne kurbağa Öyle bir yerdeyim ki,...",pop,0.472,mutluluk,0.59,doğa,8,100
Ahmet Kaya,İnsanların yüzlerini Göremiyorum Boğazım düğüm düğüm Çözemiyorum İstesen de yanına gelemiyorum Tutsam...,pop,0.5942,hüzün,0.4058,acı,5,73
Ahmet Kaya,Dersim'liler Mavzerleri türkü söyler Al bir ata binmişler Kekilim öne sermişler Kor...,halk,0.277,nostalji,0.5102,gelenek,4,41
Ahmet Kaya,Çocuksu korkuları senle bastırdım Yanında sofra kurdum kaşık salladım Kana kana içtim...,arabesk,0.5006,hüzün,0.3923,aşk,10,105
Ahmet Kaya,Piposu agız kenarında Bodrum'un entel barında Herkesi yargılamaktan Kimse kalmamış yanında Sakalları...,pop,0.5176,hüzün,1.0,ayrılık,2,100
Ahmet Kaya,"Evlerinin önü mersin Ah sular akmaz gadınım tersin, tersin Mevlam seni bana...",arabesk,0.7457,hüzün,0.5202,acı,8,58
Ahmet Kaya,Sen betonlar içinde ben senin özleminde Sen yangınlar içinde ben mazlumun türküsünde...,halk_rock,0.5429,öfke,0.5429,isyan,2,73
Ahmet Kaya,Elinde bir buz bag sise Dolaniyor köse köse Simdi karakola düse Cop...,pop,0.7015,nostalji,0.403,nostalji,7,160
Ahmet Kaya,Elinde bir buz bağ şişe Dolanıyor köşe köşe şimdi karakola düşe Cop...,pop,0.6026,nostalji,0.4872,nostalji,8,163
Ahmet Kaya,"Gayrı gider oldum gardaşlar, Ve de kız gardaşlar(x2) Gayrı haram bu can...",rock,0.276,hüzün,0.3196,acı,13,95
Ahmet Kaya,Gaş gabahın yerle gödir De görün neylemişem Yüreğim güp güp edir De...,arabesk,0.5,hüzün,0.5,aşk,2,50
Ahmet Kaya,Güller solmadan önce gel Gecenin yarısında gel Gizli gizli gel sessiz gel...,pop,0.8181,aşk,0.6358,aşk,51,150
Ahmet Kaya,Geçici ayrılık benimkisi Ilkyaz çiçeğine gebeyim Ağıtlar yakmayın adıma Ben ölmedim ölmeyeceğim...,halk,0.3727,huzur,0.4638,doğa,10,70
Ahmet Kaya,"Hani benim sevincim nerde Bilyelerim, topacım Kiraz ağacında yırtılan gömleğim Çaldılar çocukluğumu...",pop,0.7436,nostalji,0.5014,nostalji,8,87
Ahmet Kaya,Burda çiçekler açmıyor Kuşlar süzülüp uçmuyor Yıldızlar ışık saçmıyor Geçmiyor günler geçmiyor...,pop,0.805,nostalji,0.6298,nostalji,12,64
Ahmet Kaya,"Artık seninle duramam, Bu akşam çıkar giderim Hesabım kalsın mahşere Elimi yıkar...",pop,0.4802,hüzün,0.5,acı,4,105
Ahmet Kaya,Oy bilesin ki ben ha Taş döven demir döven Oy bilesin ki...,halk_rock,0.3673,gurur,0.6939,vatan,2,44
Ahmet Kaya,"Birer birer, biner biner ölürüz Yana yana, döne döne geliriz Biz dostu'da...",pop,0.3093,öfke,0.2783,isyan,38,406
Ahmet Kaya,birer birer biner biner biner ölürüz yana yana ahh döne döne yine...,pop,0.376,öfke,0.2455,isyan,43,423
Ahmet Kaya,"Geçiyor önümden sirenler içinde Ah eller üstünde, çiçekler içinde Dudağında yarım bir...",halk,0.5409,hüzün,0.2809,gelenek,11,115
Ahmet Kaya,Uçakları nedeyim? Gökkuşağı gönder bana Senin olsun süngülerin Gül dikeni yeter bana...,halk,0.4754,nostalji,0.4733,gelenek,35,98
Ahmet Kaya,Dalgındım dağlar gibi türkülüydüm çınar çınar Ne kızarıp giden sarı ne kızarıp...,pop,0.9462,nostalji,0.5078,nostalji,41,111
Ahmet Kaya,Yapma bana bu nazı Kırarım Şimdi sazı Suratını asıp ta Cehennem etme...,pop,0.8742,aşk,0.8742,aşk,7,52
Ahmet Kaya,Dağlar dizi dize düz olur mu? Yar gelmesize ne olur Bir yar...,pop,0.4478,öfke,0.4867,isyan,20,107
Ahmet Kaya,Yeni bir dünya için kardeşler Yeni bir dünya için bu kavga Bu...,halk_rock,0.2896,öfke,0.4754,isyan,35,192
Ahmet Kaya,Hani benim sevincim nerde Bilyelerim topacım Kiraz ağacında yırtılan gömleğim Çaldılar çocukluğumu...,pop,0.7722,nostalji,0.557,nostalji,9,104
Ahmet Kaya,Yel eser yücelerden Türküler hecelerden Göz değil yaylım ateş Sürmesi gecelerden Olta...,halk,0.4336,hüzün,0.3045,doğa,15,65
Ahmet Kaya,"Ard-arda bilmem kaç zemheri geçti Kurt uyur, kuş uyur, zindan uyurdu Dışarıda...",rock,0.3325,hüzün,0.3577,karanlık,9,74
Ahmet Kaya,Haydi git güle güle Güle güle sana Acılara yeten gücüm Mektuplara yetmedi...,pop,0.7244,hüzün,0.5622,aşk,6,67
Ahmet Kaya,Haçan demir dökende ateş yiyesim gelir Gök sofraya çökende doruklardan sesim gelir...,arabesk,0.491,hüzün,0.491,güç,4,30
Ahmet Kaya,Ne sen leyla' sın ne de ben mecnun Ne sen yorgun ne...,arabesk,0.5899,hüzün,0.7926,hüzün,4,101
Ahmet Kaya,Dağlar bize düz olur lo Yar gelmezse ne olur Bir yar gider...,pop,0.4438,öfke,0.4132,isyan,10,58
Ahmet Kaya,Hey göklere duman durmuş dağlar hey Değirmenin üstü her gün yel olmaz...,pop,0.2965,nostalji,0.2965,nostalji,7,65
Ahmet Kaya,Bir güneşti gördüğüm dağlar ardında Uzanıp gittiğim yollar ateşti sanki Tuttuğum ellerde...,pop,0.5517,genel,0.3547,özlem,5,63
Ahmet Kaya,Sen benim hiç bir şeyimsin Yazdıklarımdan çok daha az Hiç kimse misin...,pop,0.8623,hüzün,0.3768,nostalji,8,113
Ahmet Kaya,Nedir bu başımdaki felaket Kırk yıldır sefalette bu ahmet Kefenimi alın dikin...,pop,0.4368,huzur,0.3194,aşk,8,119
Ahmet Kaya,O kızı nerede nasıl görsem Aklımı başımdan alır ağzı Saçları şıra köpüğü...,rock,0.3986,hüzün,0.4009,acı,5,85
Ahmet Kaya,Üç etekli ak pusulu türkü bakışlı Kadınlar yürüyor dağlara doğru Leylak moru...,halk,0.6136,nostalji,0.3337,doğa,10,80
Ahmet Kaya,Artık seninle duramam Bu akşam çıkar giderim Hesabım kalsın Mahşere Elimi yıkar...,arabesk,0.342,hüzün,0.5,acı,6,145
Ahmet Kaya,Vur sırtına vur sırtına Dostun olam vur sırtına Madem ki ben kaldıramam...,arabesk,0.411,hüzün,0.411,yiğitlik,13,99
Ahmet Kaya,Geçmedi yare sözümüz Yollarda kaldı gözümüz Yere sürüldü yüzümüz Böyleymiş karayazımız Çiçekler...,pop,0.7532,aşk,0.3902,aşk,7,54
Ahmet Kaya,kara yılan der ki harbe oturak kilis yollarından kelle getirek nerde düşman...,arabesk,0.3519,hüzün,0.3519,özlem,3,37
Ahmet Kaya,Akşam olur karanlıklar çökende Devriyeler adım adım gezende Kar kaplamış solmuş güller...,pop,0.3626,aşk,0.3626,aşk,3,55
Ahmet Kaya,"Malatya' dan çıktım yola, yollar yanıyor Düşman sarmış dört yanımı, kurşun saçıyor...",arabesk,0.38,hüzün,0.38,kader,5,56
Ahmet Kaya,Bayrakları göndere çeken çocuklar Aç bir destandır kan gölü gruplarda Bir çocuk...,pop,0.241,öfke,0.246,vatan,13,91
Ahmet Kaya,Ilgaz dağlarında çocuk doğurdun sen Memende süt yoktu Karla doyurdun sen Sardın...,arabesk,0.5509,hüzün,0.5509,acı,2,39
Ahmet Kaya,Kani diherikin Karwan diçün Tişt nema li dü Hevi ar ü dü...,pop,0.5484,hüzün,0.2212,umut,13,92
Ahmet Kaya,Bir yuruyus eylediler sabahtan Ilgıt ılgıt kan gidiyor loy loy Bir yürüyüş...,arabesk,0.7998,çaresizlik,0.4548,kader,49,176
Ahmet Kaya,"Uçtum ateş üstüne, Dağlansın diye sızım Sorma halim ne olur Yoruldum anlamsızım...",pop,0.4468,hüzün,0.4574,yalnızlık,9,70
Ahmet Kaya,Lele kurban ben olayım Ah göğsünde ben olayım Senin yerin sıcak kalsın...,arabesk,0.7556,hüzün,0.7556,acı,8,63
Ahmet Kaya,Kemer Ağır Kalkmıyor Yar Yüzüme Bakmıyor Yar Üstüme Yar Sevmiş Hiç Aklımdan...,pop,0.7523,aşk,0.6697,aşk,11,64
Ahmet Kaya,Bir kenar mahalleliyim Mecburen parasizdir ceplerim Fabrikada satilik sendika Agzimi acsam sokaktayim...,halk_rock,0.5399,öfke,0.5399,isyan,2,52
Ahmet Kaya,Yan yana geçen geceler unutulup gider mi? Acılar birden biter mi? Bir...,pop,0.5418,hüzün,0.5944,özlem,12,112
Ahmet Kaya,Ne çıramız ne lambamız Karanlık yollarda kaldık Kor kor ateşlerde yandık Çok...,halk,0.6175,huzur,0.4098,doğa,5,50
Ahmet Kaya,yol parası veremedim diye bu daglari bana deldirler bu yolları bana açtırdılar...,arabesk,0.52,çaresizlik,0.52,kader,2,73
Ahmet Kaya,Gençliğimi kimse bilmez Sakallarımdan çocuk kokusu Ağzımdan ay ışığı fışkırır benim Ceketimi...,pop,0.4971,hüzün,0.3751,aşk,10,73
Ahmet Kaya,Kaldırınca tabancasını Nişan almak için sarı saçlıya Parıldayıverdi gözleri Koru kendini Kırlangıçlar...,pop,0.8609,mutluluk,0.5704,müzik,7,104
Ahmet Kaya,"(SBAGCAN) Kocunmayın güzel beyler, hanımlar Alınıp ıncınmeyın Sılah sılah catmayın o guzel...",halk,0.3359,huzur,0.2679,doğa,44,662
Ahmet Kaya,Martılar ağlardı çöplüklerde Biz seninle gülüşürdük Şehirlere bombalar yağardı her gece Biz...,pop,0.7755,hüzün,0.5587,ayrılık,9,70
Ahmet Kaya,Kollumu salladım toplar oynadı Karataş içinden çete kaynadı Yaşasın urfalılar teslim olmadı...,pop,0.0,genel,0.0,genel,0,61
Ahmet Kaya,Bu bir kılıçbalığının öyküsü Yazılmasa da olurdu Ama bizi yeni sulara götürecek...,arabesk,0.4972,hüzün,0.4972,sevinç,5,115
Ahmet Kaya,Saçların savrulur türkülerime Deli rüzgar eser gecelerime Hüzünler dolar boş kadehime Yüreğim...,pop,0.4502,hüzün,0.5,yalnızlık,14,70
Ahmet Kaya,Akşam olur mektuplar hasretlik söyler Zağrep radyosunda lili marlen türküsü Siperden sipere...,halk_rock,0.3024,umut,0.3024,özgürlük,7,60
Ahmet Kaya,Küçücüktüm küçücüktüm Oltayı attım denize Bir üşüşüverdi balıklar Denizi gördüm Bir uçurtma...,rap,0.8075,hırs,0.4545,güç,5,46
Ahmet Kaya,Şenlik dağıldı bir acı yel kaldı bahçede yalnız O mahur beste çalar...,pop,0.5017,yalnızlık,0.2599,yalnızlık,13,81
Ahmet Kaya,Şu dağdaki gezene bak gözlerinin rengine bak Mavi gözler kan kan olmuş...,arabesk,0.3558,öfke,0.4906,kader,10,61
Ahmet Kaya,İtten aç yılandan çıplak Gelip durmuşsam kapına Var mi ki doymazlığım Oturmuş...,pop,0.569,aşk,0.4042,aşk,17,67
Ahmet Kaya,Hani bulutlarla bana haber yollayacaktın Sen her yağmur damlasına bir kelime yazacak;...,pop,0.6444,hüzün,0.7481,özlem,9,114
Ahmet Kaya,Giderim buralardan Giderim bir gece vakti Umurumda olmaz bilirim Ya beni sararsa...,arabesk,0.4204,hüzün,0.5929,özlem,3,37
Ahmet Kaya,Yagmur yagsin isterdim bu sabah Merhaba soylu sevdam merhaba Ipil ipil dussun...,pop,0.7821,hüzün,0.6147,özlem,5,37
Ahmet Kaya,Metrisin önünde durdum Hasretim yerlere vurdum Ben dağlarda uçan kuştum Kanatlarımdan vuruldum...,halk,0.4446,huzur,0.4323,doğa,8,48
Ahmet Kaya,Martinimin fuları Gece geçtim yolları Aslan mican geliyor Takmaz karakolları Vay benim...,arabesk,0.802,çaresizlik,0.5939,kader,5,56
Ahmet Kaya,Munzurdan bir kuş indi Karalı karalı Gittim baktım kanatları Yaralı yaralı Kirvem...,halk,0.3576,huzur,0.2629,doğa,23,163
